frame_num,x1,y1,w1,h1,x2,y2,w2,h2,centroid_x1,centroid_y1,centroid_x2,centroid_y2,delta_x,y
0,879,517,24,28,821,519,23,30,891,531,832,534,59,532.5
0,399,367,15,16,377,372,14,12,406,375,384,378,22,376.5
0,935,719,42,38,853,723,45,37,956,738,875,741,81,739.5
0,662,478,21,22,624,479,23,25,672,489,635,491,37,490.0
0,707,685,26,34,617,688,24,33,720,702,629,704,91,703.0
0,620,516,18,26,556,520,23,25,629,529,567,532,62,530.5
0,517,452,21,23,479,453,23,24,527,463,490,465,37,464.0
0,469,414,18,19,439,416,21,20,478,423,449,426,29,424.5
0,473,610,27,29,402,610,33,35,486,624,418,627,68,625.5
0,438,492,19,23,393,495,21,23,447,503,403,506,44,504.5
1,935,547,22,29,868,548,26,33,946,561,881,564,65,562.5
1,428,372,14,15,401,374,17,15,435,379,409,381,26,380.0
1,1011,817,48,40,922,819,41,38,1035,837,942,838,93,837.5
1,695,499,24,24,655,503,26,22,707,511,668,514,39,512.5
1,729,749,25,35,622,749,27,39,741,766,635,768,106,767.0
1,639,542,22,27,570,546,24,25,650,555,582,558,68,556.5
1,538,463,22,28,498,468,22,23,549,477,509,479,40,478.0
1,482,423,18,22,450,426,21,18,491,434,460,435,31,434.5
1,463,647,35,36,390,652,29,29,480,665,404,666,76,665.5
1,451,510,21,26,401,516,22,21,461,523,412,526,49,524.5
2,1009,590,28,34,935,593,27,34,1023,607,948,610,75,608.5
2,461,378,18,18,436,381,15,13,470,387,443,387,27,387.0
2,740,532,25,23,694,532,27,28,752,543,707,546,45,544.5
2,530,416,24,25,502,419,21,22,542,428,512,430,30,429.0
2,664,582,23,28,585,586,25,28,675,596,597,600,78,598.0
2,564,486,22,23,522,490,20,21,575,497,532,500,43,498.5
2,497,437,19,20,466,440,19,19,506,447,475,449,31,448.0
2,450,719,29,25,358,724,25,24,464,731,370,736,94,733.5
2,464,542,21,20,412,544,21,21,474,552,422,554,52,553.0
3,1111,653,28,35,1021,655,29,36,1125,670,1035,673,90,671.5
3,497,387,17,15,469,389,17,14,505,394,477,396,28,395.0
3,791,572,27,25,739,574,27,26,804,584,752,587,52,585.5
3,568,431,25,28,537,435,23,25,580,445,548,447,32,446.0
3,686,630,26,29,597,633,26,28,699,644,610,647,89,645.5
3,590,508,22,27,540,512,25,23,601,521,552,523,49,522.0
3,512,449,20,22,478,452,21,23,522,460,488,463,34,461.5
3,412,816,37,30,297,816,39,32,430,831,316,832,114,831.5
3,474,573,21,21,413,577,25,20,484,583,425,587,59,585.0
4,1245,741,38,46,1134,744,37,43,1264,764,1152,765,112,764.5
4,534,395,15,15,504,397,16,13,541,402,512,403,29,402.5
4,850,623,29,29,788,629,30,22,864,637,803,640,61,638.5
4,607,447,27,31,575,449,23,29,620,462,586,463,34,462.5
4,712,696,28,34,604,699,27,34,726,713,617,716,109,714.5
4,616,538,23,24,562,542,23,23,627,550,573,553,54,551.5
